구분,강원
1997년01월,381.09
1997년02월,383.35
1997년03월,370.62
1997년04월,368.30
1997년05월,366.12
1997년06월,372.20
1997년07월,342.58
1997년08월,328.94
1997년09월,351.78
1997년10월,358.23
1997년11월,374.52
1997년12월,522.14
1998년01월,680.39
1998년02월,739.82
1998년03월,589.23
1998년04월,588.65
1998년05월,494.99
1998년06월,487.35
1998년07월,486.55
1998년08월,485.61
1998년09월,518.55
1998년10월,549.36
1998년11월,549.31
1998년12월,498.39
1999년01월,463.56
1999년02월,462.14
1999년03월,468.14
1999년04월,482.70
1999년05월,521.95
1999년06월,522.57
1999년07월,517.81
1999년08월,530.98
1999년09월,552.31
1999년10월,589.81
1999년11월,618.67
1999년12월,605.36
2000년01월,592.28
2000년02월,590.67
2000년03월,590.19
2000년04월,578.95
2000년05월,559.25
2000년06월,597.49
2000년07월,597.07
2000년08월,628.90
2000년09월,656.92
2000년10월,702.68
2000년11월,701.05
2000년12월,695.01
2001년01월,675.59
2001년02월,673.81
2001년03월,672.38
2001년04월,684.64
2001년05월,664.17
2001년06월,662.57
2001년07월,663.89
2001년08월,659.06
2001년09월,659.50
2001년10월,664.68
2001년11월,637.79
2001년12월,607.19
2002년01월,617.73
2002년02월,620.89
2002년03월,629.27
2002년04월,672.28
2002년05월,700.26
2002년06월,700.06
2002년07월,727.63
2002년08월,725.75
2002년09월,725.25
2002년10월,748.64
2002년11월,774.43
2002년12월,757.05
2003년01월,780.99
2003년02월,805.07
2003년03월,826.80
2003년04월,786.73
2003년05월,759.31
2003년06월,751.43
2003년07월,780.03
2003년08월,782.49
2003년09월,782.46
2003년10월,786.93
2003년11월,807.43
2003년12월,824.38
2004년01월,844.82
2004년02월,859.04
2004년03월,859.63
2004년04월,860.52
2004년05월,873.88
2004년06월,881.95
2004년07월,936.75
2004년08월,968.75
2004년09월,972.43
2004년10월,986.30
2004년11월,980.29
2004년12월,941.35
2005년01월,931.71
2005년02월,947.02
2005년03월,994.86
2005년04월,1037.83
2005년05월,1021.93
2005년06월,1041.96
2005년07월,1137.85
2005년08월,1154.80
2005년09월,1191.71
2005년10월,1194.26
2005년11월,1155.19
2005년12월,1132.91
2006년01월,1152.33
2006년02월,1157.70
2006년03월,1164.92
2006년04월,1207.78
2006년05월,1252.52
2006년06월,1248.79
2006년07월,1291.15
2006년08월,1297.46
2006년09월,1270.62
2006년10월,1205.10
2006년11월,1183.90
2006년12월,1177.39
2007년01월,1168.64
2007년02월,1156.10
2007년03월,1178.93
2007년04월,1212.25
2007년05월,1234.84
2007년06월,1244.41
2007년07월,1251.96
2007년08월,1284.64
2007년09월,1291.97
2007년10월,1335.55
2007년11월,1399.99
2007년12월,1434.15
2008년01월,1453.93
2008년02월,1453.84
2008년03월,1498.41
2008년04월,1608.03
2008년05월,1762.62
2008년06월,1914.70
2008년07월,1922.25
2008년08월,1779.22
2008년09월,1665.92
2008년10월,1606.65
2008년11월,1422.17
2008년12월,1305.82
2009년01월,1304.71
2009년02월,1324.18
2009년03월,1310.18
2009년04월,1334.87
2009년05월,1328.70
2009년06월,1393.80
2009년07월,1436.24
2009년08월,1456.17
2009년09월,1460.44
2009년10월,1412.16
2009년11월,1452.93
2009년12월,1443.59
2010년01월,1451.60
2010년02월,1446.09
2010년03월,1470.00
2010년04월,1508.68
2010년05월,1527.20
2010년06월,1517.47
2010년07월,1525.13
2010년08월,1523.76
2010년09월,1509.23
2010년10월,1507.24
2010년11월,1524.62
2010년12월,1574.39
2011년01월,1621.05
2011년02월,1650.71
2011년03월,1755.21
2011년04월,1798.03
2011년05월,1782.93
2011년06월,1745.88
2011년07월,1760.49
2011년08월,1767.90
2011년09월,1754.55
2011년10월,1779.99
2011년11월,1795.18
2011년12월,1798.42
2012년01월,1808.62
2012년02월,1835.15
2012년03월,1858.26
2012년04월,1870.26
2012년05월,1846.68
2012년06월,1782.20
2012년07월,1731.89
2012년08월,1792.52
2012년09월,1840.92
2012년10월,1826.62
2012년11월,1786.11
2012년12월,1767.74
2013년01월,1757.15
2013년02월,1771.01
2013년03월,1794.82
2013년04월,1758.43
2013년05월,1710.01
2013년06월,1706.10
2013년07월,1735.33
2013년08월,1751.84
2013년09월,1743.59
2013년10월,1723.76
2013년11월,1708.48
2013년12월,1710.78
2014년01월,1713.73
2014년02월,1707.22
2014년03월,1704.31
2014년04월,1697.46
2014년05월,1692.05
2014년06월,1682.90
2014년07월,1675.26
2014년08월,1657.27
2014년09월,1626.47
2014년10월,1596.91
2014년11월,1546.94
2014년12월,1471.37
2015년01월,1345.69
2015년02월,1287.84
2015년03월,1332.94
2015년04월,1327.80
2015년05월,1347.03
2015년06월,1372.28
2015년07월,1366.78
2015년08월,1328.71
2015년09월,1284.65
