지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),일조율(%),최심적설(cm),평균지면온도(°C)
121,영월,Jan-97,-5.5,65,13.3,1.5,57.22,6.2,-2.7
121,영월,Feb-97,-2,62,38.4,1.4,55.6,2.5,0.1
121,영월,Mar-97,4.7,58,22.4,1.8,58.55,0.4,6.6
121,영월,Apr-97,11.3,55,58.5,1.9,57.66,,13.8
121,영월,May-97,15.6,71,197.8,1.6,36.42,,17.8
121,영월,Jun-97,20.8,70,123.8,1.2,49.67,,23
121,영월,Jul-97,23.7,81,359.4,1.1,40.37,,26.6
121,영월,Aug-97,24.4,76,203.3,1.4,50.38,,27.5
121,영월,Sep-97,17.7,73,69.2,1.4,48.06,,21.2
121,영월,Oct-97,11.1,64,13.2,1.5,68.35,0.2,14.1
121,영월,Nov-97,6.3,71,105.6,1.2,51.16,,8.2
121,영월,Dec-97,-0.9,71,36.7,1.3,50.54,3.8,1.3
121,영월,Jan-98,-2.9,65,13.5,1.9,53.87,10,0
121,영월,Feb-98,0.7,68,42.9,1.6,49.92,25.7,2.5
121,영월,Mar-98,5.7,59,25.7,2,62.93,0.2,7.6
121,영월,Apr-98,14.4,69,131.1,1.6,44.81,,16.3
121,영월,May-98,17.1,67,69.7,1.3,48.96,,19.9
121,영월,Jun-98,20,76,172.6,1.6,36.45,,22.2
121,영월,Jul-98,23.5,82,250.1,1.8,26.33,,25.1
121,영월,Aug-98,23.8,85,504.1,1.1,29.29,,26.3
121,영월,Sep-98,20.5,78,97.1,1.2,44.33,,24.2
121,영월,Oct-98,14.3,78,57.9,1.1,47.22,,16.7
121,영월,Nov-98,4.7,72,39.6,0.9,51.71,6.7,6.7
121,영월,Dec-98,-0.1,67,3.7,1,62.15,4,1.8
121,영월,Jan-99,-2.7,53,4.7,1.6,71.11,3.5,-1
121,영월,Feb-99,-1.1,52,6.5,1.6,58.56,3.7,1.4
121,영월,Mar-99,4.9,59,57.2,1.7,53.17,0.6,7.5
121,영월,Apr-99,12,63,94.8,1.9,58.56,,14.3
121,영월,May-99,16,68,98.7,1.5,55.32,,20
121,영월,Jun-99,21.3,72,142.4,1.1,52.17,,25.9
121,영월,Jul-99,23.6,76,176,1.7,35.77,,26.9
