"Áö¿ªº°(1)","½ÃÁ¡","¿ùº°(1)",±â¿Â (¡É),±â¿Â (¡É),±â¿Â (¡É),±â¿Â (¡É),±â¿Â (¡É),°­¼ö·® (mm),»ó´ë½Àµµ (%),»ó´ë½Àµµ (%),ÃÖ½É½ÅÀû¼³ (§¯),¹Ù¶÷ (§½)
"Áö¿ªº°(1)","½ÃÁ¡","¿ùº°(1)",Æò±Õ,Æò±ÕÃÖ°í,ÃÖ°í±Ø°ª,Æò±ÕÃÖÀú,ÃÖÀú±Ø°ª,¼Ò°è,Æò±Õ,ÃÖ¼Ò,¼Ò°è,Æò±ÕÇ³¼Ó
"°­¸ª","2000","1¿ù",0.8,4.9,11.6,-2.4,-9.4,66.3,58,10,24.8,3.2
"°­¸ª","2000","2¿ù",0.9,5.9,10.0,-3.1,-7.2,3.3,39,12,2.0,3.7
"°­¸ª","2000","3¿ù",8.1,13.8,22.9,2.9,-3.8,15.9,41,9,0.0,3.7
"°­¸ª","2000","4¿ù",12.6,18.1,26.2,7.2,2.9,37.1,50,9,0.0,3.6
"°­¸ª","2000","5¿ù",17.0,22.2,33.1,12.6,6.6,47.6,70,9,0.0,2.2
"°­¸ª","2000","6¿ù",21.7,27.0,35.8,17.2,11.2,114.3,69,14,0.0,2.0
"°­¸ª","2000","7¾ó",27.2,31.9,36.6,23.4,17.9,86.4,67,32,0.0,2.5
"°­¸ª","2000","8¿ù",25.4,29.4,35.3,22.5,17.4,214.1,79,33,0.0,1.7
"°­¸ª","2000","9¿ù",19.7,24.0,34.5,16.4,11.8,407.7,76,18,0.0,2.4
"°­¸ª","2000","10¿ù",15.5,20.8,26.3,11.3,6.9,13.8,64,13,0.0,2.4
"°­¸ª","2000","11¿ù",8.6,14.0,23.0,4.4,-1.1,97.1,54,10,0.0,2.8
"°­¸ª","2000","12¿ù",4.1,9.2,16.2,-0.4,-8.0,5.6,42,7,0.5,3.3
"°­¸ª","2001","1¿ù",-1.3,2.3,8.6,-4.9,-14.7,101.0,48,10,10.5,3.6
"°­¸ª","2001","2¿ù",2.1,7.0,16.8,-2.0,-8.0,97.6,52,10,23.6,3.1
"°­¸ª","2001","3¿ù",6.5,12.2,23.3,1.5,-6.0,25.5,47,9,16.0,3.4
"°­¸ª","2001","4¿ù",14.0,20.0,28.3,8.4,3.4,18.9,44,9,0.0,3.3
"°­¸ª","2001","5¿ù",18.8,24.2,35.1,14.3,6.1,25.4,56,7,0.0,3.0
"°­¸ª","2001","6¿ù",22.1,26.6,36.1,18.8,13.9,121.3,67,13,0.0,2.2
"°­¸ª","2001","7¾ó",26.5,31.0,35.6,22.6,17.7,122.9,67,23,0.0,2.0
"°­¸ª","2001","8¿ù",24.6,29.0,33.9,21.2,16.4,81.2,74,29,0.0,2.0
"°­¸ª","2001","9¿ù",20.0,24.3,30.8,16.2,8.7,273.2,70,22,0.0,2.5
"°­¸ª","2001","10¿ù",16.3,20.9,25.8,12.4,7.1,195.1,65,16,0.0,2.6
"°­¸ª","2001","11¿ù",8.9,13.9,21.2,5.2,-2.3,34.4,46,12,0.0,3.4
"°­¸ª","2001","12¿ù",2.1,6.6,12.5,-1.3,-6.0,21.1,38,9,11.1,3.6
"°­¸ª","2002","1¿ù",1.5,5.7,16.0,-2.1,-10.3,78.0,53,14,6.9,3.9
"°­¸ª","2002","2¿ù",4.8,9.3,14.0,0.5,-5.6,0.0,37,8,0.0,3.7
"°­¸ª","2002","3¿ù",9.7,14.7,23.4,4.5,-1.1,25.6,43,9,0.0,3.7
"°­¸ª","2002","4¿ù",14.3,19.6,30.0,9.5,3.1,50.5,45,8,0.0,3.2
"°­¸ª","2002","5¿ù",17.1,21.3,30.3,12.6,6.3,78.8,62,11,0.0,2.3
"°­¸ª","2002","6¿ù",21.3,25.7,34.8,16.9,13.0,33.3,63,16,0.0,2.2
"°­¸ª","2002","7¾ó",23.6,26.8,35.5,20.7,17.4,224.7,76,35,0.0,1.8
"°­¸ª","2002","8¿ù",23.4,26.4,34.2,21.2,16.7,1137.0,78,40,0.0,2.1
"°­¸ª","2002","9¿ù",19.5,23.5,33.8,16.0,12.9,128.5,73,24,0.0,2.2
"°­¸ª","2002","10¿ù",14.0,18.5,25.9,9.8,1.8,180.0,55,12,0.0,2.9
"°­¸ª","2002","11¿ù",6.3,10.9,21.1,2.3,-1.7,0.4,41,7,0.0,3.4
"°­¸ª","2002","12¿ù",2.6,6.2,16.0,-0.4,-7.8,129.4,60,15,18.0,2.2
"°­¸ª","2003","1¿ù",-0.4,3.7,10.0,-4.0,-13.9,60.2,49,14,36.8,3.4
"°­¸ª","2003","2¿ù",2.7,6.4,11.9,-0.8,-5.2,90.7,65,17,8.0,2.5
"°­¸ª","2003","3¿ù",5.9,9.9,20.1,2.2,-5.5,81.0,61,17,20.0,2.5
"°­¸ª","2003","4¿ù",12.8,17.5,28.2,8.1,1.6,200.0,62,13,0.0,2.6
"°­¸ª","2003","5¿ù",16.2,20.0,27.2,12.6,5.6,149.8,73,14,0.0,2.0
"°­¸ª","2003","6¿ù",21.2,24.9,29.5,17.8,12.6,157.3,69,22,0.0,2.2
"°­¸ª","2003","7¾ó",21.4,24.3,28.4,19.0,17.1,223.1,82,47,0.0,1.7
"°­¸ª","2003","8¿ù",23.2,26.8,33.6,20.3,16.9,284.3,78,31,0.0,1.9
"°­¸ª","2003","9¿ù",20.0,23.7,29.2,16.8,10.3,532.0,77,27,0.0,2.2
"°­¸ª","2003","10¿ù",14.8,19.8,23.3,10.5,5.3,58.5,52,13,0.0,3.2
"°­¸ª","2003","11¿ù",10.6,14.0,25.6,7.2,-1.4,251.5,62,11,0.0,2.6
"°­¸ª","2003","12¿ù",3.8,8.0,14.7,0.3,-7.6,7.0,39,13,0.0,4.4
"°­¸ª","2004","1¿ù",0.9,5.2,11.2,-2.4,-15.6,12.1,38,9,0.6,4.2
"°­¸ª","2004","2¿ù",4.5,9.1,19.9,0.6,-6.8,12.9,39,8,0.2,4.3
"°­¸ª","2004","3¿ù",7.9,12.6,23.5,3.2,-5.8,7.6,37,5,4.8,3.5
"°­¸ª","2004","4¿ù",14.7,19.9,32.7,9.5,2.4,163.6,42,6,-,3.6
"°­¸ª","2004","5¿ù",18.2,22.9,30.7,14.0,6.6,54.1,57,12,-,2.7
"°­¸ª","2004","6¿ù",22.0,26.1,32.1,18.1,12.8,224.5,61,14,-,2.2
"°­¸ª","2004","7¾ó",24.5,27.8,36.2,21.8,17.3,404.1,73,35,-,2.3
"°­¸ª","2004","8¿ù",23.6,26.9,32.6,20.7,16.6,503.4,78,21,-,2.0
"°­¸ª","2004","9¿ù",20.6,24.5,30.7,17.6,14.6,181.4,75,28,-,2.2
"°­¸ª","2004","10¿ù",15.5,20.2,25.2,10.9,6.4,18.9,59,14,-,2.8
"°­¸ª","2004","11¿ù",11.4,16.1,23.9,7.3,1.6,9.9,51,13,-,3.1
"°­¸ª","2004","12¿ù",5.2,9.7,19.5,1.4,-5.4,11.8,43,10,4.6,3.2
"°­¸ª","2005","1¿ù",0.5,4.8,11.5,-3.0,-8.3,32.5,39,6,20.3,4.1
"°­¸ª","2005","2¿ù",-0.1,3.9,7.8,-3.8,-12.5,80.3,44,9,2.9,3.4
"°­¸ª","2005","3¿ù",5.1,9.7,19.3,0.8,-5.6,80.8,50,8,44.0,3.3
"°­¸ª","2005","4¿ù",13.9,18.3,32.2,9.1,0.4,39.6,47,7,0.0,3.7
"°­¸ª","2005","5¿ù",16.1,20.8,30.3,11.7,6.9,58.7,59,6,0.0,2.5
"°­¸ª","2005","6¿ù",22.8,27.0,35.5,19.0,13.3,193.3,65,14,0.0,2.2
"°­¸ª","2005","7¾ó",25.3,28.6,35.2,22.5,18.1,218.7,73,31,0.0,2.2
"°­¸ª","2005","8¿ù",25.9,29.9,36.5,22.7,16.3,201.0,70,35,0.0,2.7
"°­¸ª","2005","9¿ù",20.5,24.3,34.2,17.2,12.6,557.5,77,38,0.0,2.2
"°­¸ª","2005","10¿ù",15.4,20.0,25.2,11.6,5.6,182.4,62,19,0.0,2.8
"°­¸ª","2005","11¿ù",10.5,15.1,23.8,6.4,-0.4,8.5,43,11,0.0,3.3
"°­¸ª","2005","12¿ù",-0.6,4.0,11.1,-4.5,-10.5,0.1,32,10,0.2,4.0
"°­¸ª","2006","1¿ù",1.2,5.4,11.8,-2.2,-7.4,42.1,51,7,3.9,2.7
"°­¸ª","2006","2¿ù",2.5,6.7,14.6,-1.3,-9.5,9.7,45,9,2.9,3.7
"°­¸ª","2006","3¿ù",7.1,12.0,19.7,1.9,-6.3,9.1,39,8,0.0,3.7
"°­¸ª","2006","4¿ù",11.0,15.4,25.8,6.8,2.0,103.9,55,9,0.0,3.0
"°­¸ª","2006","5¿ù",16.9,21.6,30.3,12.7,4.4,98.6,62,8,0.0,2.4
"°­¸ª","2006","6¿ù",20.2,24.4,31.2,17.0,12.8,77.1,70,18,0.0,2.3
"°­¸ª","2006","7¾ó",21.9,24.7,32.9,19.7,16.0,757.3,81,36,0.0,1.9
"°­¸ª","2006","8¿ù",26.3,30.0,35.2,23.3,18.2,204.1,71,30,0.0,2.3
"°­¸ª","2006","9¿ù",19.5,23.8,30.3,15.8,12.0,88.3,70,23,0.0,2.5
"°­¸ª","2006","10¿ù",17.8,22.1,30.2,14.0,9.1,341.2,64,12,0.0,2.7
"°­¸ª","2006","11¿ù",9.3,13.2,22.2,5.8,-3.0,96.7,53,10,0.0,3.1
"°­¸ª","2006","12¿ù",3.7,8.3,14.7,1.0,-8.6,24.6,47,11,9.6,3.4
"°­¸ª","2007","1¿ù",2.8,7.2,10.8,-0.6,-4.5,17.0,48,10,4.3,3.4
"°­¸ª","2007","2¿ù",5.5,10.3,18.2,1.5,-5.9,19.1,52,11,-,3.6
"°­¸ª","2007","3¿ù",7.0,11.5,19.3,2.9,-6.0,96.0,57,12,6.8,3.3
"°­¸ª","2007","4¿ù",12.2,16.6,28.0,7.8,2.2,44.5,54,10,0.0,3.0
"°­¸ª","2007","5¿ù",18.3,23.1,30.3,13.8,9.0,111.5,58,11,0.0,3.2
"°­¸ª","2007","6¿ù",21.5,25.6,32.5,17.2,12.5,44.4,67,21,0.0,2.3
"°­¸ª","2007","7¾ó",22.7,25.5,35.7,20.5,17.1,311.2,81,30,0.0,1.9
"°­¸ª","2007","8¿ù",26.4,30.1,35.9,23.2,18.2,158.9,72,27,0.0,2.3
"°­¸ª","2007","9¿ù",20.8,23.9,32.0,18.3,15.0,503.3,80,30,0.0,2.2
"°­¸ª","2007","10¿ù",15.6,20.2,28.8,12.0,5.8,73.6,65,8,0.0,2.9
"°­¸ª","2007","11¿ù",9.1,13.5,20.1,5.2,-2.2,60.6,51,6,1.7,3.3
"°­¸ª","2007","12¿ù",4.4,8.6,12.8,1.1,-6.0,1.5,46,13,0.0,3.7
"°­¸ª","2008","1¿ù",1.1,4.9,11.5,-2.0,-8.3,82.6,51,12,20.3,3.4
"°­¸ª","2008","2¿ù",2.0,6.8,14.4,-1.9,-7.9,0.0,35,8,0.0,3.9
"°­¸ª","2008","3¿ù",7.5,12.0,18.4,3.4,-1.2,117.3,59,14,8.5,3.0
"°­¸ª","2008","4¿ù",13.8,18.5,29.3,9.5,5.7,34.2,54,8,0.0,3.3
"°­¸ª","2008","5¿ù",18.8,23.6,33.0,14.4,7.0,69.3,55,5,0.0,3.0
"°­¸ª","2008","6¿ù",19.8,23.3,32.8,16.2,12.1,106.7,72,9,0.0,2.5
"°­¸ª","2008","7¾ó",26.7,30.3,36.8,23.5,17.8,322.7,69,29,0.0,2.3
"°­¸ª","2008","8¿ù",24.0,27.2,33.0,21.1,17.4,330.6,78,32,0.0,2.1
"°­¸ª","2008","9¿ù",21.8,25.6,30.6,18.5,12.0,131.7,71,21,0.0,2.5
"°­¸ª","2008","10¿ù",18.3,22.6,28.2,14.7,9.5,43.9,59,12,0.0,3.0
"°­¸ª","2008","11¿ù",10.2,13.9,23.1,7.0,-3.7,49.1,50,8,0.0,3.5
"°­¸ª","2008","12¿ù",4.1,7.9,15.6,0.5,-10.0,54.6,44,10,0.0,3.7
"°­¸ª","2009","1¿ù",1.2,5.5,11.7,-2.3,-9.6,24.0,39,9,0.3,4.0
"°­¸ª","2009","2¿ù",5.4,9.4,21.3,2.1,-6.1,20.6,51,6,0.3,3.2
"°­¸ª","2009","3¿ù",7.3,11.1,24.0,3.5,-2.1,70.9,53,8,2.3,3.3
"°­¸ª","2009","4¿ù",13.1,18.2,28.4,8.0,0.7,56.0,51,9,0.0,2.9
"°­¸ª","2009","5¿ù",19.0,23.7,31.4,14.5,9.3,43.0,56,10,0.0,2.5
"°­¸ª","2009","6¿ù",21.6,25.5,34.1,17.7,11.7,102.6,68,12,0.0,2.3
"°­¸ª","2009","7¾ó",22.8,26.8,32.3,19.5,16.1,405.1,80,25,0.0,1.8
"°­¸ª","2009","8¿ù",23.3,26.9,33.4,20.1,15.8,170.2,77,19,0.0,1.8
"°­¸ª","2009","9¿ù",20.2,24.6,30.5,16.4,14.1,50.3,72,23,0.0,2.0
"°­¸ª","2009","10¿ù",16.4,21.4,26.4,12.2,8.9,31.2,57,15,0.0,2.7
"°­¸ª","2009","11¿ù",8.4,12.1,23.6,5.3,-2.1,191.6,61,13,14.0,2.9
"°­¸ª","2009","12¿ù",2.1,6.5,11.9,-1.3,-9.0,17.5,47,11,0.0,3.5
"°­¸ª","2010","1¿ù",-0.8,3.8,13.1,-5.2,-12.7,33.9,45,8,25.6,2.6
"°­¸ª","2010","2¿ù",1.7,5.6,20.3,-2.2,-9.0,101.2,58,8,49.0,2.1
"°­¸ª","2010","3¿ù",3.3,6.4,13.6,0.5,-2.1,160.3,68,17,165.5,2.1
"°­¸ª","2010","4¿ù",9.2,12.9,19.8,5.3,0.9,34.0,52,11,-,2.5
"°­¸ª","2010","5¿ù",16.4,21.1,31.0,11.7,5.9,115.5,60,13,-,2.4
"°­¸ª","2010","6¿ù",20.7,25.6,29.6,16.2,5.7,15.2,68,24,-,1.5
"°­¸ª","2010","7¾ó",25.1,28.8,35.6,21.8,17.7,77.6,72,16,-,1.8
"°­¸ª","2010","8¿ù",25.7,29.5,36.3,22.7,19.0,167.1,80,17,-,1.6
"°­¸ª","2010","9¿ù",19.8,23.5,30.6,16.6,9.0,272.9,79,19,-,1.6
"°­¸ª","2010","10¿ù",14.3,18.4,23.9,10.4,2.3,70.6,72,14,-,1.9
"°­¸ª","2010","11¿ù",8.5,13.4,20.6,3.2,-4.1,10.3,46,12,-,2.6
"°­¸ª","2010","12¿ù",2.4,7.2,18.1,-2.5,-10.8,28.0,43,12,2.0,2.9
"°­¸ª","2011","1¿ù",-2.8,1.9,5.4,-6.7,-13.5,13.0,38,12,9.3,3.7
