date,damage_price,damage_crop
200001,,
200002,,
200003,,
200004,,
200005,,
200006,,
200007,,
200008,,
200009,,126
200010,,
200011,,
200012,,
200101,,4
200102,,
200103,,
200104,,
200105,,
200106,,
200107,6782445,426
200108,,
200109,,
200110,,
200111,,
200112,,
200201,,
200202,,
200203,,
200204,,
200205,,
200206,,
200207,61734,5
200208,283671567,4230
200209,,
200210,,
200211,,
200212,,
200301,,
200302,,
200303,,
200304,,
200305,,
200306,,
200307,,
200308,4596879,90
200309,48720832,1159
200310,,
200311,,
200312,,
200401,,
200402,,
200403,,
200404,5994,
200405,,
200406,1465371,500
200407,823393,148
200408,915979,95
200409,,
200410,,
200411,,
200412,,
200501,,
200502,,
200503,,
200504,,
200505,,
200506,970590,597
200507,,
200508,,
200509,,16
200510,,
200511,,
200512,,
200601,,
200602,,
200603,,
200604,,
200605,,
200606,,
200607,130766489,3551
200608,,
200609,,
200610,26355,5
200611,,
200612,,
200701,,
200702,,
200703,,
200704,,
200705,,
200706,,
200707,,
200708,638092,41
200709,26195,14
200710,,
200711,,
200712,,
200801,,
200802,,
200803,,
200804,,
200805,,
200806,,
200807,379224,43
200808,363645,25
200809,,
200810,,
200811,,
200812,,
200901,,
200902,,
200903,,
200904,,
200905,,
200906,,
200907,1003348,
200908,5959,
200909,,
200910,,
200911,,
200912,,
201001,,
201002,,
201003,,
201004,,
201005,,
201006,,
201007,,
201008,102533,
201009,532651,
201010,,
201011,,
201012,,
201101,,
201102,,
201103,,
201104,,
201105,,
201106,135299,
201107,420871,
201108,60027,
201109,,
201110,,
201111,,
201112,,
201201,,
201202,,
201203,,
201204,,
201205,,
201206,,
201207,12125,
201208,2250,
201209,3503,
201210,,
201211,,
201212,,
201301,,
201302,,
201303,,
201304,,
201305,,
201306,,
201307,3042671,
201308,519,
201309,,
201310,,
201311,,
201312,,
201401,,
201402,,
201403,,
201404,,
201405,,
201406,,
201407,,
201408,,
201409,,
201410,,
201411,,
201412,,
201501,,
201502,,
201503,,
201504,,
201505,,
201506,,
201507,3091,
201508,1192,
201509,,
201510,,
201511,,
201512,,
201601,,
201602,,
201603,,
201604,,3
201605,,110
201606,,
201607,,
201608,,
201609,,
201610,,
201611,,
201612,,
201701,,
201702,,
201703,,
201704,,
201705,,
201706,,
201707,2714689,8253
201708,,10
201709,,
201710,,
201711,,
201712,,
