기간,수입중량
2000.02,"12,500"
2000.06,"12,500"
2000.09,"12,500"
2000.11,"23,500"
2001.03,"23,500"
2001.04,"18,000"
2001.05,"23,500"
2001.06,"2,000"
2001.08,"17,964"
2001.09,"12,500"
2001.1,"12,500"
2001.11,"32,700"
2002.01,"1,000"
2002.02,"53,350"
2002.04,"36,510"
2002.05,"12,000"
2002.06,"34,450"
2002.07,"12,500"
2002.09,"12,500"
2002.1,"25,000"
2002.11,"18,000"
2002.12,"15,800"
2003.01,"10,000"
2003.02,"28,900"
2003.03,"7,000"
2003.04,"7,000"
2003.05,"31,000"
2003.07,"9,500"
2003.09,"34,450"
2004.03,"9,800"
2004.07,"5,184"
2004.1,"286,200"
2004.11,"308,000"
2004.12,"391,000"
2005.01,"690,830"
2005.02,"336,000"
2005.03,"144,000"
2005.04,"268,310"
2005.05,"168,480"
2005.08,"152,600"
2005.09,110
2006.01,"51,032"
2006.03,0
2006.04,"23,000"
2006.07,"2,000"
2006.09,0
2006.12,"4,720"
2007.01,"23,000"
2007.03,"24,000"
2007.04,"25,000"
2007.07,"23,000"
2007.09,"8,000"
2007.1,"23,000"
2007.11,"3,500"
2008.01,"16,500"
2008.02,"23,500"
2008.05,"23,640"
2008.09,"23,500"
2009.01,"23,470"
2009.05,"22,200"
2009.06,"22,200"
2009.08,"22,200"
2009.09,"66,600"
2009.1,"23,004"
2009.11,"110,800"
2009.12,"132,800"
2010.01,"32,504"
2010.02,"72,400"
2010.03,"26,200"
2010.04,"46,200"
2010.05,"44,400"
2010.06,"44,400"
2010.07,"111,001"
2010.08,"45,701"
2010.09,"133,200"
2010.1,"45,700"
2010.11,"136,800"
2010.12,"113,600"
2011.01,"134,503"
2011.02,"68,402"
2011.03,"136,303"
2011.04,"88,801"
2011.05,"66,400"
2011.06,"88,800"
2011.07,"88,800"
2011.08,"88,800"
2011.09,"67,900"
2011.1,"44,400"
2011.11,"100,470"
2011.12,"110,800"
2012.01,"55,400"
2012.02,"66,603"
2012.03,"92,405"
2012.04,"112,315"
2012.05,"66,400"
2012.06,"44,650"
2012.07,"44,410"
2012.08,"98,616"
2012.09,"99,070"
2012.1,"107,870"
2012.11,"22,219"
2012.12,"88,800"
2013.01,"22,210"
2013.02,"86,400"
2013.03,"60,521"
2013.04,"52,664"
2013.05,"275,900"
2013.06,"98,090"
2013.07,"46,284"
2013.08,"69,287"
2013.09,"34,092"
2013.1,"117,049"
2013.11,"173,842"
2013.12,"131,974"
2014.01,"227,468"
2014.02,"78,426"
2014.03,"180,280"
2014.04,"125,762"
2014.05,"77,586"
2014.06,"114,628"
2014.07,"108,771"
2014.08,"99,091"
2014.09,"179,216"
2014.1,"91,169"
2014.11,"143,359"
2014.12,"209,095"
2015.01,"63,152"
2015.02,"139,649"
2015.03,"194,710"
2015.04,"228,523"
2015.05,"164,017"
2015.06,"183,720"
2015.07,"207,813"
2015.08,"170,712"
2015.09,"96,789"
2015.1,"128,764"
2015.11,"65,968"
2015.12,"205,256"
2016.01,"5,004"
2016.02,"44,700"
2016.03,"49,700"
2016.04,"46,304"
2016.05,"44,700"
2016.06,"10,000"
2016.09,"27,200"
2016.1,"22,510"
2016.11,"32,503"
2016.12,"32,502"
2017.01,"32,200"
2017.02,"32,430"
2017.03,"29,644"
2017.04,"34,000"
2017.05,"24,003"
2017.06,"24,004"
2017.07,"14,001"
2017.08,"24,008"
2017.09,"48,000"
2017.1,"10,000"
2017.11,"23,532"
2017.12,"8,633"
