date,소비자물가 총지수(2015=100),소비자물가상승률(%),식료품 · 비주류음료,주류 및 담배,의류 및 신발,주택 ·수도 · 전기 및 연료,가정용품 및 가사 서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
200001,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200002,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200003,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200004,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200005,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200006,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200007,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200008,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200009,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200010,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200011,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200012,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1,5.1,0.9,1.3
200101,69.3,4.1,5.1,5,3,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4
200102,69.3,4.1,5.1,5,3,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4
200103,69.3,4.1,5.1,5,3,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4
200104,69.3,4.1,5.1,5,3,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4
