date,price
200001,15096
200002,14860.86957
200003,13538.46154
200004,9460.869565
200005,9141.666667
200006,11216
200007,9358.333333
200008,10388.46154
200009,12373.91304
200010,11283.33333
200011,11100
200012,11936
200101,12191.30435
200102,11558.33333
200103,11884.61538
200104,12133.33333
200105,22625
200106,14440
200107,12672
200108,13725.92593
200109,13856
200110,13750
200111,13700
200112,14720
200201,15461.53846
200202,15419.04762
200203,14472
200204,21192
200205,20768
200206,12373.91304
200207,11168
200208,12130.76923
200209,13086.95652
200210,12600
200211,12615.38462
200212,12675
200301,13112
200302,14234.78261
200303,15824
200304,18440
200305,21766.66667
200306,16958.33333
200307,17546.15385
200308,20653.84615
200309,23773.91304
200310,28076.92308
200311,32648
200312,33146.15385
200401,32730.43478
200402,38583.33333
200403,42915.38462
200404,44283.33333
200405,29316.66667
200406,18415.38462
200407,16309.09091
200408,20521.73913
200409,24936.84211
200410,26780.95238
200411,24272.72727
200412,22660
200501,20752.38095
200502,22329.41176
200503,21872.72727
200504,25961.90476
200505,27718.18182
200506,13619.04762
200507,10818.18182
200508,12958.33333
200509,12909.09091
200510,11457.14286
200511,10669.56522
200512,11709.09091
200601,10654.54545
200602,10750
200603,10209.09091
200604,23860
200605,25240
200606,14057.14286
200607,11750
200608,17854.54545
200609,21954.54545
200610,22042.10526
200611,20752.38095
200612,22780
200701,21227.27273
200702,21926.31579
200703,18447.61905
200704,19247.61905
200705,21266.66667
200706,14930
200707,15885.71429
200708,18145.45455
200709,19129.41176
200710,21154.54545
200711,21354.54545
200712,23442.10526
200801,25518.18182
200802,30888.88889
200803,28438.09524
200804,33476.19048
200805,35600
200806,18355
200807,14752.17391
200808,16290
200809,16428.57143
200810,15000
200811,14230
200812,14171.42857
200901,16621.05263
200902,20590
200903,23627.27273
200904,48418.18182
200905,40294.73684
200906,20309.09091
200907,17991.30435
200908,20133.33333
200909,21936.36364
200910,22933.33333
200911,25419.04762
200912,28047.61905
201001,31670
201002,33115.78947
201003,31827.27273
201004,32445.45455
201005,36694.73684
201006,26114.28571
201007,21854.54545
201008,25772.72727
201009,26936.84211
201010,26876.19048
201011,33118.18182
201012,33747.82609
201101,36161.90476
201102,34117.64706
201103,29645.45455
201104,22171.42857
201105,19385
201106,23857.14286
201107,22761.90476
201108,31336.36364
201109,34770
201110,34480
201111,34300
201112,34238.09524
201201,31660
201202,34323.80952
201203,35952.38095
201204,40610
201205,54457.14286
201206,34720
201207,27681.81818
201208,28345.45455
201209,30050
201210,29161.90476
201211,28581.81818
201212,28947.36842
201301,29390.90909
201302,27010.52632
201303,21350
201304,19981.81818
201305,20091.42857
201306,18894.73684
201307,15721.73913
201308,20276.19048
201309,23100
201310,20552.38095
201311,19733.33333
201312,19571.42857
201401,20150
201402,19420
201403,17714.28571
201404,18709.09091
201405,23842.10526
201406,20831.57895
201407,21991.30435
201408,23200
201409,22888.88889
201410,20638.09524
201411,20220
201412,21200
201501,23609.52381
201502,29058.82353
201503,34781.81818
201504,41163.63636
201505,51922.22222
201506,33836.36364
201507,26173.91304
201508,25500
201509,24910
201510,24714.28571
201511,25380.95238
201512,25495.2381
201601,28360
201602,31011.11111
201603,31990.90909
201604,31020
201605,37150
201606,24723.80952
201607,19228.57143
201608,21709.09091
201609,25168.42105
201610,25380
201611,28827.27273
201612,32485.71429
201701,33370
201702,35040
201703,35127.27273
201704,33110
201705,49073.68421
201706,31523.80952
201707,32485.71429
201708,39854.54545
201709,41276.19048
201710,42775
201711,42236.36364
201712,47010.52632
