date,area_sweet,production_sweet
200001,324,5832
200002,324,5832
200003,324,5832
200004,324,5832
200005,324,5832
200006,324,5832
200007,324,5832
200008,324,5832
200009,324,5832
200010,324,5832
200011,324,5832
200012,324,5832
200101,296,4609
200102,296,4609
200103,296,4609
200104,296,4609
200105,296,4609
200106,296,4609
200107,296,4609
200108,296,4609
200109,296,4609
200110,296,4609
200111,296,4609
200112,296,4609
200201,322,6350
200202,322,6350
200203,322,6350
200204,322,6350
200205,322,6350
200206,322,6350
200207,322,6350
200208,322,6350
200209,322,6350
200210,322,6350
200211,322,6350
200212,322,6350
200301,354,6354
200302,354,6354
200303,354,6354
200304,354,6354
200305,354,6354
200306,354,6354
200307,354,6354
200308,354,6354
200309,354,6354
200310,354,6354
200311,354,6354
200312,354,6354
200401,424,8760
200402,424,8760
200403,424,8760
200404,424,8760
200405,424,8760
200406,424,8760
200407,424,8760
200408,424,8760
200409,424,8760
200410,424,8760
200411,424,8760
200412,424,8760
200501,507,9395
200502,507,9395
200503,507,9395
200504,507,9395
200505,507,9395
200506,507,9395
200507,507,9395
200508,507,9395
200509,507,9395
200510,507,9395
200511,507,9395
200512,507,9395
200601,527,9191
200602,527,9191
200603,527,9191
200604,527,9191
200605,527,9191
200606,527,9191
200607,527,9191
200608,527,9191
200609,527,9191
200610,527,9191
200611,527,9191
200612,527,9191
200701,628,10908
200702,628,10908
200703,628,10908
200704,628,10908
200705,628,10908
200706,628,10908
200707,628,10908
200708,628,10908
200709,628,10908
200710,628,10908
200711,628,10908
200712,628,10908
200801,583,10232
200802,583,10232
200803,583,10232
200804,583,10232
200805,583,10232
200806,583,10232
200807,583,10232
200808,583,10232
200809,583,10232
200810,583,10232
200811,583,10232
200812,583,10232
200901,579,10028
200902,579,10028
200903,579,10028
200904,579,10028
200905,579,10028
200906,579,10028
200907,579,10028
200908,579,10028
200909,579,10028
200910,579,10028
200911,579,10028
200912,579,10028
201001,477,7355
201002,477,7355
201003,477,7355
201004,477,7355
201005,477,7355
201006,477,7355
201007,477,7355
201008,477,7355
201009,477,7355
201010,477,7355
201011,477,7355
201012,477,7355
201101,516,7719
201102,516,7719
201103,516,7719
201104,516,7719
201105,516,7719
201106,516,7719
201107,516,7719
201108,516,7719
201109,516,7719
201110,516,7719
201111,516,7719
201112,516,7719
201201,491,7247
201202,491,7247
201203,491,7247
201204,491,7247
201205,491,7247
201206,491,7247
201207,491,7247
201208,491,7247
201209,491,7247
201210,491,7247
201211,491,7247
201212,491,7247
201301,576,8559
201302,576,8559
201303,576,8559
201304,576,8559
201305,576,8559
201306,576,8559
201307,576,8559
201308,576,8559
201309,576,8559
201310,576,8559
201311,576,8559
201312,576,8559
201401,516,7797
201402,516,7797
201403,516,7797
201404,516,7797
201405,516,7797
201406,516,7797
201407,516,7797
201408,516,7797
201409,516,7797
201410,516,7797
201411,516,7797
201412,516,7797
201501,514,7638
201502,514,7638
201503,514,7638
201504,514,7638
201505,514,7638
201506,514,7638
201507,514,7638
201508,514,7638
201509,514,7638
201510,514,7638
201511,514,7638
201512,514,7638
201601,437,11052
201602,437,11052
201603,437,11052
201604,437,11052
201605,437,11052
201606,437,11052
201607,437,11052
201608,437,11052
201609,437,11052
201610,437,11052
201611,437,11052
201612,437,11052
201701,519,7842
201702,519,7842
201703,519,7842
201704,519,7842
201705,519,7842
201706,519,7842
201707,519,7842
201708,519,7842
201709,519,7842
201710,519,7842
201711,519,7842
201712,519,7842
